"Survey"	"Date"	"Station"	"Temp"	"Top EC"	"Bottom EC"	"Secchi"	"Turbidity"	"Latitude"	"Longitude"	"Comments"
1	4/17/1996 0:00:00	335	15.20	12980	13860	22				
1	4/17/1996 0:00:00	336	14.80	10390	12340	22				
2	4/24/1996 0:00:00	809	15.80	151	184	116				
2	4/24/1996 0:00:00	901	16.80	180	221	130				
2	4/24/1996 0:00:00	902	17.80	227	263	147				
2	4/24/1996 0:00:00	910	18.00	305	293	97				
2	4/24/1996 0:00:00	912	18.30	295	276	61				
2	4/24/1996 0:00:00	914	18.70	330	322	128				
2	4/24/1996 0:00:00	915	17.90	381	382	129				
2	4/25/1996 0:00:00	705	15.90	120	124	83				
2	4/25/1996 0:00:00	707	15.20	118	124	52				
2	4/25/1996 0:00:00	711	15.20	95	102	63				
2	4/25/1996 0:00:00	716	16.20	217	226	27				
2	4/25/1996 0:00:00	812	16.10	156	163	117				
2	4/25/1996 0:00:00	815	15.80	155	161	102				
2	4/25/1996 0:00:00	906	16.80	279	277	105				
2	4/25/1996 0:00:00	919	15.00	99	103	75				
2	4/26/1996 0:00:00	508	17.50	144	147	80				
2	4/26/1996 0:00:00	513	17.10	143	141	77				
2	4/26/1996 0:00:00	519	17.90	152	146	68				
2	4/26/1996 0:00:00	520	17.60	151	150	58				
2	4/26/1996 0:00:00	703	16.20	144	174	94				
2	4/26/1996 0:00:00	704	15.30	122	121	72				
2	4/26/1996 0:00:00	706	15.00	116	122	88				
2	4/26/1996 0:00:00	801	16.30	143	137	79				
2	4/27/1996 0:00:00	418	18.00	4125	17540	56				
2	4/27/1996 0:00:00	602	18.10	674	888	32				
2	4/27/1996 0:00:00	606	19.60	872	1001	20				
2	4/27/1996 0:00:00	609	18.70	609	604	24				
2	4/27/1996 0:00:00	610	16.60	241	237	29				
2	4/27/1996 0:00:00	804	17.00	169	178	100				
2	4/28/1996 0:00:00	323	16.00	19250	20790	43				
2	4/28/1996 0:00:00	405	16.70	6800	7470	40				
2	4/28/1996 0:00:00	411	17.10	2596	7340	60				
2	4/28/1996 0:00:00	501	17.50	2285	2626	45				
2	4/28/1996 0:00:00	504	16.90	496	2277	63				
2	4/29/1996 0:00:00	340	16.20	16540	20480	44				
2	4/29/1996 0:00:00	341	18.10	14820	22640	56				
2	4/29/1996 0:00:00	342	18.60	14250	16170	46				
2	4/29/1996 0:00:00	343	20.20	11650	13740	58				
2	4/29/1996 0:00:00	344	21.00	8040	11390	61				
2	4/29/1996 0:00:00	345	21.60	6020	8890	56				
2	4/29/1996 0:00:00	346	20.80	4372	5910	61				
2	4/30/1996 0:00:00	802	18.50	192	241	120				
2	4/30/1996 0:00:00	918	18.50	326	388	52				
3	5/9/1996 0:00:00	809	17.70	175	180	91				
3	5/9/1996 0:00:00	901	18.40	192	190	110				
3	5/9/1996 0:00:00	902	19.00	253	249	121				
3	5/9/1996 0:00:00	910	19.90	283	290	60				
3	5/9/1996 0:00:00	912	19.40	281	308	54				
3	5/9/1996 0:00:00	914	20.90	364	377	94				
3	5/9/1996 0:00:00	915	20.20	381	380	106				
3	5/9/1996 0:00:00	918	18.20	318	328	55				
3	5/10/1996 0:00:00	705	18.00	127	130	71				
3	5/10/1996 0:00:00	707	17.70	125	129	54				
3	5/10/1996 0:00:00	711	17.70	104	112	101				
3	5/10/1996 0:00:00	716	17.90	155	165	34				
3	5/10/1996 0:00:00	812	18.70	181	184	86				
3	5/10/1996 0:00:00	815	18.70	186	188	84				
3	5/10/1996 0:00:00	906	18.90	275	266	84				
3	5/10/1996 0:00:00	919	17.60	88	89	70				
3	5/11/1996 0:00:00	508	19.50	214	243	41				
3	5/11/1996 0:00:00	513	18.60	165	171	58				
3	5/11/1996 0:00:00	519	19.60	224	231	32				
3	5/11/1996 0:00:00	520	19.70	180	188	58				
3	5/11/1996 0:00:00	703	18.30	166	173	53				
3	5/11/1996 0:00:00	704	17.40	123	124	60				
3	5/11/1996 0:00:00	706	17.10	127	129	60				
3	5/11/1996 0:00:00	801	18.60	167	173	55				
3	5/12/1996 0:00:00	418	20.70	6590	16960	24				
3	5/12/1996 0:00:00	602	20.80	2090	2205	21				
3	5/12/1996 0:00:00	606	21.80	613	675	19				
3	5/12/1996 0:00:00	609	20.30	105	107	18				
3	5/12/1996 0:00:00	610	19.40	319	314	25				
3	5/12/1996 0:00:00	802	19.60	200	205	62				
3	5/12/1996 0:00:00	804	19.90	199	197	80				
3	5/13/1996 0:00:00	340	18.10	17070	18050	23				
3	5/13/1996 0:00:00	341	18.50	15450	18360	26				
3	5/13/1996 0:00:00	342	19.20	14020	14160	20				
3	5/13/1996 0:00:00	343	20.40	13360	13620	22				
