"ID"	"FishCode"	"Count"
64.00	"THRSTI"	9.00
64.00	"TOPSME"	30.00
65.00	"AMPHPD"	0.00
65.00	"CRANSP"	99.00
65.00	"ISOPOD"	0.00
65.00	"LONSME"	2.00
65.00	"MYSIDR"	0.00
65.00	"PACHER"	1.00
65.00	"THRSHA"	1.00
65.00	"THRSTI"	2.00
65.00	"TOPSME"	1.00
66.00	"AMESHA"	1.00
66.00	"AMPHPD"	0.00
66.00	"CRANSP"	1080.00
66.00	"ISOPOD"	0.00
66.00	"LONSME"	14.00
66.00	"MYSIDR"	0.00
66.00	"NORANC"	1.00
66.00	"PACHER"	1.00
66.00	"PACSSC"	1.00
66.00	"THRSHA"	1.00
66.00	"THRSTI"	9.00
66.00	"TOPSME"	12.00
67.00	"AMESHA"	2.00
67.00	"AMPHPD"	0.00
67.00	"CORBUL"	2.00
67.00	"CRANSP"	1340.00
67.00	"HOREGO"	1.00
67.00	"ISOPOD"	2.00
67.00	"LONSME"	7.00
67.00	"MYSIDR"	0.00
67.00	"PACHER"	4.00
67.00	"PACSSC"	2.00
67.00	"THRSTI"	2.00
67.00	"TOPSME"	1.00
68.00	"AMPHPD"	2.00
68.00	"ARRGOB"	1.00
68.00	"CORBIC"	2.00
68.00	"CORBUL"	7.00
68.00	"CRANSP"	13.00
68.00	"ISOPOD"	0.00
68.00	"LONSME"	3.00
68.00	"MISSIL"	1.00
68.00	"MYSIDR"	0.00
68.00	"PACSSC"	12.00
68.00	"THRSHA"	1.00
68.00	"THRSTI"	44.00
68.00	"YELGOB"	5.00
69.00	"AMPHPD"	0.00
69.00	"CORBIC"	1.00
69.00	"CORBUL"	2.00
69.00	"CRANSP"	7.00
69.00	"ISOPOD"	0.00
69.00	"LONSME"	2.00
69.00	"MACOMA"	1.00
69.00	"MISSIL"	1.00
69.00	"MYSIDR"	0.00
69.00	"PACSSC"	2.00
69.00	"THRSHA"	3.00
69.00	"THRSTI"	107.00
70.00	"AMPHPD"	0.00
70.00	"ARRGOB"	1.00
70.00	"CRANSP"	190.00
70.00	"ISOPOD"	2.00
70.00	"LONSME"	10.00
70.00	"MYSIDR"	0.00
70.00	"PACHER"	1.00
70.00	"PACSSC"	4.00
70.00	"THRSTI"	4.00
71.00	"AMPHPD"	2.00
71.00	"CRANSP"	165.00
71.00	"ISOPOD"	0.00
71.00	"LONSME"	1.00
71.00	"MYSIDR"	0.00
71.00	"NORANC"	5.00
71.00	"PACHER"	1.00
72.00	"AMESHA"	3.00
72.00	"AMPHPD"	0.00
72.00	"CRANSP"	113.00
72.00	"HOREGO"	2.00
72.00	"ISOPOD"	0.00
72.00	"LONSME"	2.00
72.00	"MACOMA"	1.00
72.00	"MYSIDR"	0.00
72.00	"PACSSC"	8.00
72.00	"THRSTI"	3.00
72.00	"TOPSME"	2.00
73.00	"AMPHPD"	0.00
73.00	"CRANSP"	15.00
73.00	"ISOPOD"	1.00
73.00	"LONSME"	8.00
73.00	"MYSIDR"	0.00
73.00	"PACHER"	1.00
73.00	"PALAEM"	2.00
73.00	"SHOGOB"	1.00
73.00	"THRSHA"	1.00
73.00	"THRSTI"	34.00
73.00	"TOPSME"	6.00
74.00	"AMESHA"	1.00
74.00	"AMPHPD"	0.00
74.00	"CORBUL"	3.00
74.00	"CRANSP"	511.00
74.00	"ISOPOD"	3.00
74.00	"LONSME"	5.00
74.00	"MISSIL"	1.00
74.00	"MYSIDR"	0.00
74.00	"PACHER"	4.00
74.00	"PACSSC"	5.00
74.00	"SANSPP"	2.00
74.00	"SHIPER"	1.00
74.00	"THRSTI"	5.00
74.00	"TOPSME"	1.00
75.00	"AMPHPD"	0.00
75.00	"CRANSP"	36.00
75.00	"ISOPOD"	0.00
75.00	"MYSIDR"	0.00
75.00	"SANSPP"	1.00
75.00	"THRSHA"	1.00
75.00	"THRSTI"	8.00
75.00	"TOPSME"	1.00
76.00	"AMPHPD"	0.00
76.00	"CRANSP"	2.00
76.00	"ISOPOD"	0.00
76.00	"MYSIDR"	0.00
76.00	"SANSPP"	1.00
76.00	"TOPSME"	21.00
77.00	"AMPHPD"	0.00
77.00	"ARRGOB"	2.00
77.00	"CRANSP"	102.00
77.00	"DIATUR"	5.00
77.00	"HOREGO"	2.00
77.00	"ISOPOD"	0.00
77.00	"MISSIL"	1.00
77.00	"MYSIDR"	0.00
77.00	"PALAEM"	5.00
78.00	"AMPHPD"	0.00
78.00	"CRANSP"	221.00
78.00	"ISOPOD"	4.00
78.00	"MYSIDR"	2.00
78.00	"PACLAM"	1.00
78.00	"PACSSC"	2.00
78.00	"PALAEM"	1.00
78.00	"SANSPP"	14.00
78.00	"STAFLO"	1.00
79.00	"AMPHPD"	0.00
79.00	"ISOPOD"	0.00
79.00	"LONSME"	1.00
79.00	"MYSIDR"	0.00
79.00	"PACLAM"	1.00
79.00	"PRISCU"	1.00
79.00	"THRSTI"	1.00
79.00	"YELGOB"	2.00
80.00	"AMPHPD"	0.00
80.00	"CRANSP"	8.00
80.00	"ISOPOD"	0.00
80.00	"LONSME"	1.00
80.00	"MYSIDR"	2.00
80.00	"THRSTI"	15.00
80.00	"UNID GOBY"	1.00
81.00	"AMPHPD"	0.00
81.00	"CRANSP"	44.00
81.00	"ISOPOD"	0.00
81.00	"LONSME"	1.00
81.00	"MYSIDR"	2.00
81.00	"PACSSC"	6.00
81.00	"SANSPP"	1.00
81.00	"THRSTI"	2.00
81.00	"UNID GOBY"	1.00
82.00	"AMPHPD"	0.00
82.00	"ISOPOD"	0.00
82.00	"MYSIDR"	0.00
82.00	"THRSTI"	197.00
83.00	"AMPHPD"	0.00
83.00	"CRANSP"	19.00
83.00	"ISOPOD"	0.00
83.00	"LONMUD"	1.00
83.00	"MYSIDR"	0.00
83.00	"PACSSC"	1.00
83.00	"PRISCU"	1.00
83.00	"RAIKIL"	2.00
83.00	"THRSTI"	17.00
84.00	"AMPHPD"	0.00
84.00	"CRANSP"	8.00
84.00	"ISOPOD"	0.00
84.00	"MYSIDR"	0.00
84.00	"PACSSC"	1.00
84.00	"RAIKIL"	1.00
84.00	"THRSTI"	15.00
84.00	"UNID LARVAL"	2.00
85.00	"AMPHPD"	0.00
85.00	"ARRGOB"	1.00
85.00	"CRANSP"	13.00
85.00	"ISOPOD"	0.00
85.00	"LONSME"	2.00
85.00	"MYSIDR"	1.00
85.00	"PACHER"	3.00
85.00	"PACSSC"	8.00
85.00	"RAIKIL"	1.00
85.00	"SANSPP"	1.00
85.00	"THRSTI"	11.00
85.00	"UNID GOBY"	2.00
86.00	"AMPHPD"	0.00
86.00	"ISOPOD"	0.00
86.00	"JELLYF"	1.00
86.00	"MYSIDR"	0.00
87.00	"AMPHPD"	0.00
87.00	"ISOPOD"	0.00
87.00	"MYSIDR"	0.00
87.00	"NORANC"	1.00
87.00	"TOPSME"	2.00
88.00	"AMPHPD"	0.00
88.00	"ISOPOD"	0.00
88.00	"MYSIDR"	0.00
88.00	"PACHER"	1.00
88.00	"TOPSME"	1.00
89.00	"AMPHPD"	0.00
89.00	"HOREGO"	1.00
89.00	"ISOPOD"	0.00
89.00	"MYSIDR"	0.00
90.00	"AMPHPD"	0.00
90.00	"CRANSP"	5.00
90.00	"ISOPOD"	0.00
90.00	"MYSIDR"	0.00
90.00	"NORANC"	1.00
91.00	"AMPHPD"	0.00
91.00	"CRANSP"	35.00
91.00	"DECORC"	1.00
91.00	"ISOPOD"	0.00
91.00	"MYSIDR"	0.00
91.00	"NORANC"	35.00
91.00	"PACHER"	1.00
91.00	"PILEWR"	3.00
91.00	"SHIPER"	3.00
92.00	"AMPHPD"	0.00
92.00	"CRANSP"	1.00
92.00	"ISOPOD"	3.00
92.00	"MACOMA"	1.00
92.00	"MYSIDR"	0.00
92.00	"PACSSC"	1.00
92.00	"THRSTI"	2.00
93.00	"AMPHPD"	0.00
93.00	"ISOPOD"	0.00
93.00	"MYSIDR"	0.00
93.00	"PACHER"	2.00
93.00	"UNID LARVAL"	19.00
94.00	"AMPHPD"	0.00
94.00	"CRANSP"	16.00
94.00	"ISOPOD"	0.00
94.00	"MYSIDR"	0.00
94.00	"THRSHA"	1.00
94.00	"THRSTI"	11.00
94.00	"TOPSME"	1.00
95.00	"AMESHA"	3.00
95.00	"AMPHPD"	0.00
